City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,Ulaangom,MN,75.7,scattered clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
511,Solnechnyy,RU,76.87,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
513,Methoni,GR,82.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
514,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
516,Damietta,EG,82.29,clear sky,31.4165,31.8133,SULIMAN INN
517,Westport,US,81.01,overcast clouds,41.1415,-73.3579,The Westport Inn
519,Hilotongan,PH,85.3,heavy intensity rain,11.144,123.6426,
526,Puerto Escondido,MX,78.01,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
528,Umm Kaddadah,SD,78.62,overcast clouds,13.6017,26.6876,
529,Jawhar,SO,79.88,broken clouds,2.7809,45.5005,Hotel Shabelle
532,Sola,VU,80.42,light rain,-13.8833,167.55,Leumerus Bungalows
533,Igdir,TR,83.39,clear sky,39.9237,44.045,Igdir Central Hotel Emperor Hotel
534,Roebourne,AU,79.0,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
536,Balkanabat,TM,86.95,clear sky,39.5108,54.3671,Nebitchi Hotel
538,Manaus,BR,82.89,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
539,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
540,Yarmouth,US,77.05,overcast clouds,41.7057,-70.2286,Blue Rock Resort
543,Paralimni,CY,86.88,clear sky,35.0375,33.9833,Amore Hotel Apartments
547,Moirang,IN,88.59,overcast clouds,24.5,93.7667,"Lake View Hotel, Moirang"
548,Afsin,TR,80.24,clear sky,38.2477,36.914,Afsin Ogretmenevi ASO
553,Lazaro Cardenas,MX,77.83,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
556,Tautira,PF,78.04,light rain,-17.7333,-149.15,Pension Oaoa
557,Marawi,PH,79.54,overcast clouds,7.9986,124.2928,Derogongan Residence
558,Mandalgovi,MN,80.51,scattered clouds,45.7625,106.2708,В.Ганбат
561,Akdepe,TM,84.29,broken clouds,42.0551,59.3788,
568,Isabela,PH,87.85,overcast clouds,6.7085,121.9711,Isawad Resort
569,Madang,PG,84.13,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
574,Hohhot,CN,82.69,few clouds,40.8106,111.6522,Sheraton Hohhot Hotel
578,Katobu,ID,86.09,broken clouds,-4.9408,122.5276,La Ode Husein
582,Aleysk,RU,84.29,broken clouds,52.4926,82.7822,"Hotel ""Alieika"""
583,Tura,IN,85.24,light rain,25.5198,90.2201,Hotel RIKMAN Continental
585,Siocon,PH,83.55,overcast clouds,7.7061,122.1353,ABS Hotel
587,Mitsamiouli,KM,77.29,broken clouds,-11.3847,43.2844,Foyer ADM
590,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
598,Vernon,CA,81.93,overcast clouds,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
601,Haapiti,PF,78.53,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
603,Frolovo,RU,81.39,broken clouds,49.7713,43.6622,Gostinitsa Frolovo
609,Abu Samrah,SY,89.29,clear sky,35.3029,37.1841,
610,Kamarion,GR,76.1,clear sky,36.8,25.8167,Rooms Eleni
612,Hamilton,US,76.86,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
614,Kieta,PG,80.47,light rain,-6.2167,155.6333,Uruna Bay Retreat
615,Dicamay,PH,88.88,overcast clouds,16.7561,122.0037,
616,Fare,PF,79.0,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
620,Pingliang,CN,83.71,clear sky,35.5392,106.6861,North Gate Hostel
622,Yuzhno-Sukhokumsk,RU,84.2,clear sky,44.6581,45.6436,
625,Xichang,CN,83.34,few clouds,27.8964,102.2634,Xichang ibis Hotel
631,Laguna,US,78.94,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
632,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
634,Oussouye,SN,77.83,broken clouds,12.485,-16.5469,Auberge du Routard
637,Port Keats,AU,84.13,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
641,Bengbu,CN,87.64,overcast clouds,32.9408,117.3608,Howard Johnson Nanshan Plaza
643,Abaca,PH,86.49,broken clouds,9.9204,124.5051,Baha Farm-Pasto
647,Camargo,MX,75.74,broken clouds,27.6667,-105.1667,Hotel Santa Fe
653,La Romana,DO,75.18,clear sky,18.4273,-68.9728,Casa de Campo Resort and Villas
661,Luganville,VU,79.68,light rain,-15.5333,167.1667,The Espiritu Hotel
663,Kupang,ID,82.58,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
665,Guajara,BR,76.64,broken clouds,-2.9667,-57.6667,
668,Garissa,KE,76.24,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
669,Sainte-Marie,RE,75.36,few clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
